trial,year,state,site,plot_id,block,n_trt,plant_n,side_n,vt_tiss_n,vt_biomass_kgha,nni
33,2016,IA,Crawford,101,1,2,40,0,1.57,12010.4,1.1569
33,2016,IA,Crawford,102,1,3,80,0,1.25,13238.8,0.9558
33,2016,IA,Crawford,103,1,9,40,40,1.42,11464.5,1.0281
33,2016,IA,Crawford,104,1,14,40,240,1.48,13989.4,1.1557
33,2016,IA,Crawford,105,1,16,80,160,1.38,17196.8,1.1655
33,2016,IA,Crawford,106,1,13,40,200,1.42,14330.6,1.119
33,2016,IA,Crawford,107,1,10,40,80,1.58,17196.8,1.3344
33,2016,IA,Crawford,108,1,5,160,0,1.53,14740.1,1.2187
33,2016,IA,Crawford,109,1,1,0,0,0.96,8393.7,0.6174
33,2016,IA,Crawford,110,1,4,120,0,1.57,13580.0,1.2122
33,2016,IA,Crawford,111,1,12,40,160,1.47,12283.4,1.0925
33,2016,IA,Crawford,112,1,11,40,120,1.42,13511.7,1.0943
33,2016,IA,Crawford,113,1,15,80,80,1.65,13580.0,1.274
33,2016,IA,Crawford,114,1,6,200,0,1.67,13852.9,1.2992
33,2016,IA,Crawford,115,1,7,240,0,1.59,14603.6,1.262
33,2016,IA,Crawford,116,1,8,280,0,1.57,19994.6,1.4042
33,2016,IA,Crawford,201,2,5,160,0,1.4,12751.4,1.0554
33,2016,IA,Crawford,202,2,16,80,160,1.43,13992.0,1.1167
33,2016,IA,Crawford,203,2,7,240,0,1.67,14750.2,1.3306
33,2016,IA,Crawford,204,2,11,40,120,1.47,13233.8,1.1239
33,2016,IA,Crawford,205,2,1,0,0,0.8,11717.5,0.584
33,2016,IA,Crawford,206,2,12,40,160,1.54,12337.8,1.1465
33,2016,IA,Crawford,207,2,9,40,40,1.44,13647.4,1.1139
33,2016,IA,Crawford,208,2,3,80,0,1.38,14405.6,1.0897
33,2016,IA,Crawford,209,2,4,120,0,1.49,16266.6,1.2321
33,2016,IA,Crawford,210,2,10,40,80,1.48,17093.7,1.2471
33,2016,IA,Crawford,211,2,15,80,80,1.48,12889.2,1.1203
33,2016,IA,Crawford,212,2,8,280,0,1.62,13785.3,1.258
33,2016,IA,Crawford,213,2,2,40,0,1.24,16749.1,1.0368
33,2016,IA,Crawford,214,2,13,40,200,1.6,18196.5,1.3807
33,2016,IA,Crawford,215,2,6,200,0,1.35,17851.9,1.1565
33,2016,IA,Crawford,216,2,14,40,240,1.59,15715.2,1.2977
